0,0,-2.35619,0,0
1,0,-2.35006,0,0
2,0,-2.34392,0,0
3,0,-2.33779,0,0
4,0,-2.33165,0,0
5,0,-2.32551,0,0
6,0,-2.31938,0,0
7,0,-2.31324,0,0
8,0,-2.30711,0,0
9,0,-2.30097,0,0
10,0,-2.29484,0,0
11,0,-2.2887,0,0
12,0,-2.28256,0,0
13,0,-2.27643,0,0
14,0,-2.27029,0,0
15,0,-2.26416,0,0
16,0,-2.25802,0,0
17,0,-2.25188,0,0
18,0,-2.24575,0,0
19,0,-2.23961,0,0
20,0,-2.23348,0,0
21,0,-2.22734,0,0
22,0,-2.2212,0,0
23,0,-2.21507,0,0
24,0,-2.20893,0,0
25,0,-2.2028,0,0
26,0,-2.19666,0,0
27,0,-2.19052,0,0
28,0,-2.18439,0,0
29,0,-2.17825,0,0
30,0,-2.17212,0,0
31,0,-2.16598,0,0
32,0,-2.15984,0,0
33,0,-2.15371,0,0
34,0,-2.14757,0,0
35,0,-2.14144,0,0
36,0,-2.1353,0,0
37,0,-2.12917,0,0
38,0,-2.12303,0,0
39,0,-2.11689,0,0
40,0,-2.11076,0,0
41,0,-2.10462,0,0
42,0,-2.09849,0,0
43,0,-2.09235,0,0
44,991,-2.08621,-488.462,-862.256
45,991,-2.08008,-483.162,-865.237
46,991,-2.07394,-477.844,-868.185
47,988,-2.06781,-471.078,-868.464
48,988,-2.06167,-465.74,-871.338
49,986,-2.05553,-459.453,-872.41
50,983,-2.0494,-452.71,-872.55
51,986,-2.04326,-448.712,-877.982
52,986,-2.03713,-443.317,-880.719
53,986,-2.03099,-437.904,-883.423
54,987,-2.02485,-432.914,-886.992
55,988,-2.01872,-427.897,-890.533
56,988,-2.01258,-422.424,-893.141
57,988,-2.00645,-416.936,-895.717
58,988,-2.00031,-411.432,-898.258
59,987,-1.99418,-405.502,-899.854
60,984,-1.98804,-398.757,-899.582
61,984,-1.9819,-393.23,-902.012
62,984,-1.97577,-387.688,-904.408
63,982,-1.96963,-381.355,-904.927
64,977,-1.9635,-373.882,-902.63
65,959,-1.95736,-361.55,-888.236
66,959,-1.95122,-356.093,-890.437
67,957,-1.94509,-349.892,-890.744
68,957,-1.93895,-344.42,-892.874
69,957,-1.93282,-338.934,-894.971
70,955,-1.92668,-332.74,-895.159
71,950,-1.92054,-325.528,-892.486
72,946,-1.91441,-318.698,-890.701
73,942,-1.90827,-311.902,-888.865
74,942,-1.90214,-306.442,-890.762
75,939,-1.896,-300.012,-889.783
76,938,-1.88986,-294.233,-890.657
